Type,Flag,ID,Issues
structure_pairwise,SIM_PAIRWISE_DAG_EDGE_RADA_1989,pair_EDGE_RADA_1989,
structure_pairwise,SIM_PAIRWISE_DAG_EDGE_RADA_LCA_1989,pair_EDGE_RADA_LCA_1989,
structure_pairwise,SIM_PAIRWISE_DAG_EDGE_WU_PALMER_1994,pair_EDGE_WU_PALMER_1994,
structure_pairwise,SIM_PAIRWISE_DAG_EDGE_LEACOCK_CHODOROW_1998,pair_EDGE_LEACOCK_CHODOROW_1998,
structure_pairwise,SIM_PAIRWISE_DAG_EDGE_STOJANOVIC_2001,pair_EDGE_STOJANOVIC_2001,
structure_pairwise,SIM_PAIRWISE_DAG_EDGE_PEKAR_STAAB_2002,pair_EDGE_PEKAR_STAAB_2002,
structure_pairwise,SIM_PAIRWISE_DAG_EDGE_KYOGOKU_BASIC_2011,pair_EDGE_KYOGOKU_BASIC_2011EDGE_RADA_LCA_1989,
ic_pairwise,SIM_PAIRWISE_DAG_NODE_RESNIK_1995,pair_NODE_RESNIK_1995,
ic_pairwise,SIM_PAIRWISE_DAG_NODE_LIN_1998,pair_NODE_LIN_1998,
ic_pairwise,DIST_PAIRWISE_DAG_NODE_JIANG_CONRATH_1997,pair_NODE_JIANG_CONRATH_1997,
ic_pairwise,SIM_PAIRWISE_DAG_NODE_JIANG_CONRATH_1997_NORM,pair_NODE_JIANG_CONRATH_1997_NORM,
#ic_pairwise,SIM_PAIRWISE_DAG_NODE_SCHLICKER_2006,pair_NODE_SCHLICKER_2006,requires ic_prob
ic_pairwise,SIM_PAIRWISE_DAG_NODE_SIM_IC_2010,pair_NODE_SIM_IC_2010,
ic_pairwise,SIM_PAIRWISE_DAG_NODE_JACCARD_IC,pair_NODE_JACCARD_IC,
ic_pairwise,SIM_PAIRWISE_DAG_NODE_JACCARD_3W_IC,pair_NODE_JACCARD_3W_IC,
ic_pairwise,SIM_PAIRWISE_DAG_NODE_GL,pair_NODE_GL,
#ic_pairwise,SIM_PAIRWISE_DAG_NODE_TVERSKY_IC,pair_NODE_TVERSKY_IC,not recongnised
set_groupwise,SIM_FRAMEWORK_DAG_SET_JACCARD_1901,set_JACCARD_1901,
set_groupwise,SIM_FRAMEWORK_DAG_SET_BRAUN_BLANQUET_1932,set_BRAUN_BLANQUET_1932,
set_groupwise,SIM_FRAMEWORK_DAG_SET_DICE_1945,set_DICE_1945,
set_groupwise,SIM_FRAMEWORK_DAG_SET_OCHIAI_1957,set_OCHIAI_1957,
set_groupwise,SIM_FRAMEWORK_DAG_SET_SIMPSON_1960,set_SIMPSON_1960,
set_groupwise,SIM_FRAMEWORK_DAG_SET_SOKAL_SNEATH_1963,set_SOKAL_SNEATH_1963,
set_groupwise,SIM_FRAMEWORK_DAG_SET_TVERSKY_1977,set_TVERSKY_1977,
set_groupwise,SIM_FRAMEWORK_DAG_SET_KORBEL_2002,set_KORBEL_2002,
set_groupwise,SIM_FRAMEWORK_DAG_SET_MARYLAND_BRIDGE_2003,set_MARYLAND_BRIDGE_2003,
set_groupwise,SIM_FRAMEWORK_DAG_SET_BADER_2003,set_BADER_2003,
set_groupwise,SIM_FRAMEWORK_DAG_SET_KNAPPE_2004,set_KNAPPE_2004,
set_groupwise,SIM_FRAMEWORK_DAG_SET_BATET_2010,set_BATET_2010,
direct_groupwise,SIM_GROUPWISE_DAG_ALI_DEANE,direct_ALI_DEANE,
#indirect_groupwise,SIM_GROUPWISE_DAG_GIC,direct_GIC,Requires 'ic' not pairwise 
direct_groupwise,SIM_GROUPWISE_DAG_LP,direct_LP,
direct_groupwise,SIM_GROUPWISE_DAG_LEE_2004,direct_LEE_2004,
direct_groupwise,SIM_GROUPWISE_DAG_TO,direct_TO,
direct_groupwise,SIM_GROUPWISE_DAG_NTO,direct_NTO,
direct_groupwise,SIM_GROUPWISE_DAG_NTO_MAX,direct_NTO_MAX,
direct_groupwise,SIM_GROUPWISE_DAG_UI,direct_SET_UI,
indirect_groupwise,SIM_GROUPWISE_MIN,MIN,
indirect_groupwise,SIM_GROUPWISE_AVERAGE,AVE,
indirect_groupwise,SIM_GROUPWISE_MAX,MAX,
indirect_groupwise,SIM_GROUPWISE_BMA,BMA,
indirect_groupwise,SIM_GROUPWISE_BMM,BMM,
ic_measure,IC_ANNOT_RESNIK_1995,ic_annot_resnik,
ic_measure,ICI_SANCHEZ_2011,ic_annot_sanchez,
ic_measure,ICI_SECO_2004,ic_annot_seco,
ic_measure,ICI_ZHOU_2008,ic_annot_zhou,
ic_measure,ICI_DEPTH_MAX_NONLINEAR,ic_annot_depth_max,
ic_measure,ICI_DEPTH_MIN_NONLINEAR,ic_annot_depth_min,
